id,created_at,text,lang,coordinates_type,coordinates_lat,coordinates_lon,place_id,place_name,place_country_code,retweet_count,favorite_count,_search_string,_search_loc_lat,_search_loc_lon,_search_loc_range,label,sentiment_classifier_score
Sat Feb 23 15:31:09 +0000 2019,16405182,Arrived and psyched about our clients� programs this week! Let�s do this @PR_Chirp!  -  - #MWC19 #MWC2019� https://t.co/KP47wLe4QH,en,None,None,None,1a27537478dd8e38,None,ES,0,1,MWC2019,41.3851,2.1734,3,NEG,0.049
Sat Feb 23 15:03:34 +0000 2019,2893253368,"El Taxi de Barcelona no es tan caro, Tarifas reguladas @AMBtaxi Somos Conductores profesionales, Taxistas Amables,� https://t.co/OvA32orXWR",es,None,None,None,1a27537478dd8e38,None,ES,2,4,MWC2019,41.3851,2.1734,3,NEG,0.061
Sat Feb 23 14:21:18 +0000 2019,1928127188,"Our team including @pellepelle3, will be in Barcelona for MWC, let's us know if you are interested in meeting up. #MWC2019 #MWC #edge",en,None,None,None,1a27537478dd8e38,None,ES,0,0,MWC2019,41.3851,2.1734,3,NEG,0.013
Sat Feb 23 13:46:03 +0000 2019,836197234660282368,#2 - Let the #MWC2019 5G games begin. @Qualcomm is proud to partner with @oppo on their first 5G smartphone.� https://t.co/PtCFCkWpvj,en,None,None,None,1a27537478dd8e38,None,ES,3,40,MWC2019,41.3851,2.1734,3,NEG,0.002
Sat Feb 23 13:34:33 +0000 2019,100375482,Cristiano: Oppo 5G phone will be powered by Snapdragon 855 and ship with X50 5G modem #mwc2019 https://t.co/GO5SdtOSJQ,en,None,None,None,1a27537478dd8e38,None,ES,1,1,MWC2019,41.3851,2.1734,3,NEG,0.003
Sat Feb 23 13:24:46 +0000 2019,85552005,"Now another one, @oppo announces #5g technology ..Stay tuned for more information  -  - #MWC2019",en,None,None,None,1a27537478dd8e38,None,ES,0,0,MWC2019,41.3851,2.1734,3,NEG,0.037
Sat Feb 23 13:01:55 +0000 2019,138017176,Arranca este #mwc2019 con @oppomobilees #GetCloserwithOPPO https://t.co/e7bAlOQ8vU,es,None,None,None,1a27537478dd8e38,None,ES,1,2,MWC2019,41.3851,2.1734,3,NEG,0.438
Sat Feb 23 12:48:35 +0000 2019,18451036,"[LIVE THREAD] Nous sommes � la conf�rence de presse OPPO, ici � Barcelone, en marge du #MWC2019 https://t.co/LB6zuxmvz9",fr,None,None,None,1a27537478dd8e38,None,ES,4,16,MWC2019,41.3851,2.1734,3,NEG,0.001
Sat Feb 23 12:18:18 +0000 2019,16574791,"#AR content made in 30 seconds using Zapworks Studio6, featuring Sketchfab 3D content integration.� https://t.co/5nledoRnMO",en,None,None,None,1a27537478dd8e38,None,ES,1,4,MWC2019,41.3851,2.1734,3,NEG,0.369
Sat Feb 23 11:59:22 +0000 2019,50581384,"E il nostro #mwc2019 inizia cos�! Sole paura, birra (grazie scrivoaroby ) e ..... voglia delle conferenze portami v� https://t.co/HOUBQWiPvt",it,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,14,MWC2019,41.3851,2.1734,3,NEG,0.283
